Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1909,Cincinnati Reds,NL,157,77,76,4,0.503,0.505,4th of 8,33.5,,606,599,"424,643",25.9,28.1,45,16,A.Fromme (5.9),C.Griffith (77-76)
1908,Cincinnati Reds,NL,155,73,81,1,0.474,0.451,5th of 8,26,,488,543,"399,200",27.8,30,34,15,H.Lobert (5.2),J.Ganzel (73-81)
1907,Cincinnati Reds,NL,156,66,87,3,0.431,0.506,6th of 8,41.5,,526,519,"317,500",27.7,28,30,13,B.Ewing (6.0),N.Hanlon (66-87)
1906,Cincinnati Reds,NL,155,64,87,4,0.424,0.46,6th of 8,51.5,,533,582,"330,056",29,29.9,35,14,J.Weimer (6.4),N.Hanlon (64-87)
1905,Cincinnati Reds,NL,155,79,74,2,0.516,0.524,5th of 8,26,,736,698,"313,927",28.8,26.5,26,10,C.Seymour (8.0),J.Kelley (79-74)
1904,Cincinnati Reds,NL,157,88,65,4,0.575,0.608,3rd of 8,18,,695,547,"391,915",29.3,26.6,21,7,N.Hahn (6.6),J.Kelley (88-65)
1903,Cincinnati Reds,NL,141,74,65,2,0.532,0.57,4th of 8,16.5,,765,656,"351,680",30.1,28,28,9,N.Hahn (7.5),J.Kelley (74-65)
1902,Cincinnati Reds,NL,141,70,70,1,0.5,0.551,4th of 8,33.5,,633,566,"217,300",28.4,26.1,28,15,N.Hahn (8.5),"B.McPhee (27-37), F.Bancroft (9-7) and J.Kelley (34-26)"
1901,Cincinnati Reds,NL,142,52,87,3,0.374,0.334,8th of 8,38,,561,818,"205,728",27.1,26.1,33,14,N.Hahn (7.7),B.McPhee (52-87)
1900,Cincinnati Reds,NL,144,62,77,5,0.446,0.473,7th of 8,21.5,,703,745,"170,000",28.3,26.3,22,6,N.Hahn (6.2),B.Allen (62-77)
1899,Cincinnati Reds,NL,157,83,67,7,0.553,0.547,6th of 12,19,,861,777,"259,536",29.1,26,28,10,N.Hahn (7.7),B.Ewing (83-67)
1898,Cincinnati Reds,NL,157,92,60,5,0.605,0.553,3rd of 12,11.5,,831,740,"336,378",29.6,26.4,20,8,P.Hawley (5.4),B.Ewing (92-60)
1897,Cincinnati Reds,NL,134,76,56,2,0.576,0.536,4th of 12,17,,763,705,"336,800",29.5,27.9,19,7,T.Breitenstein (7.9),B.Ewing (76-56)
1896,Cincinnati Reds,NL,128,77,50,1,0.606,0.605,3rd of 12,12,,783,620,"373,000",30.9,27.7,20,10,F.Dwyer (7.6),B.Ewing (77-50)
1895,Cincinnati Reds,NL,132,66,64,2,0.508,0.526,8th of 12,21,,903,854,"281,000",30.9,27.7,21,6,F.Dwyer (4.8),B.Ewing (66-64)
1894,Cincinnati Reds,NL,134,55,75,4,0.423,0.423,10th of 12,35,,936,1108,"158,000",29.9,25.2,27,12,F.Dwyer (4.6),C.Comiskey (55-75)
1893,Cincinnati Reds,NL,131,65,63,3,0.508,0.468,6th of 12,20.5,,759,814,"194,250",28.9,25.8,26,9,I.Chamberlain (4.2),C.Comiskey (65-63)
1892,Cincinnati Reds,NL,155,82,68,5,0.547,0.521,5th of 12,20,,766,731,"196,473",29.5,26.3,33,15,F.Dwyer (6.7),C.Comiskey (82-68)
1891,Cincinnati Reds,NL,138,56,81,1,0.409,0.409,7th of 8,30.5,,646,790,"97,500",29,29.2,21,6,A.Latham (5.6),T.Loftus (56-81)
1890,Cincinnati Reds,NL,134,77,55,2,0.583,0.579,4th of 8,10.5,,753,633,"131,980",28.1,26,18,6,B.Rhines (10.5),T.Loftus (77-55)
,,,,,,,,,,,,,,,,,,,,
